# spot,16.4500,ts,2026-06-30 23:06:47
strike,dte,cp,oi,gamma,delta,iv,bid,ask
23.00,78,P,6785,0.050100,-0.5696,0.8446,5.10,5.20
24.00,78,C,54442,0.047300,0.3891,0.8834,1.72,1.78
24.00,78,P,11432,0.047300,-0.6016,0.9290,5.95,6.05
25.00,78,C,76216,0.044700,0.3612,0.9498,1.60,1.65
25.00,78,P,7016,0.044700,-0.6294,0.8829,6.80,6.90
26.00,78,C,7657,0.042300,0.3368,0.9436,1.48,1.54
26.00,78,P,1331,0.042300,-0.6538,0.9549,7.65,7.80
27.00,78,C,1272,0.040000,0.3154,0.9700,1.39,1.44
27.00,78,P,196,0.040000,-0.6752,0.9846,8.55,8.70
28.00,78,C,31183,0.037900,0.2964,0.9802,1.30,1.36
28.00,78,P,82,0.037900,-0.6942,0.9612,9.45,9.60
29.00,78,C,5815,0.035900,0.2796,1.0213,1.23,1.28
29.00,78,P,562,0.035900,-0.7111,1.0133,10.40,10.50
30.00,78,C,68543,0.034100,0.2644,1.0443,1.16,1.22
30.00,78,P,4367,0.034100,-0.7262,1.0460,11.30,11.45
31.00,78,C,544,0.032500,0.2508,1.0673,1.11,1.16
31.00,78,P,36,0.032500,-0.7398,1.0584,12.25,12.35
32.00,78,C,22437,0.031000,0.2385,1.0692,1.06,1.11
32.00,78,P,6,0.031000,-0.7522,1.0760,13.20,13.30
33.00,78,C,11363,0.029600,0.2272,1.0894,1.01,1.06
33.00,78,P,32,0.029600,-0.7634,1.0999,14.15,14.25
34.00,78,C,10777,0.028300,0.2169,1.1281,0.97,1.01
34.00,78,P,1,0.028300,-0.7737,1.1310,15.05,15.20
35.00,78,C,128641,0.027100,0.2074,1.1480,0.93,0.97
35.00,78,P,15,0.027100,-0.7832,1.1507,16.00,16.15
36.00,78,C,9487,0.026000,0.1987,1.1658,0.89,0.93
36.00,78,P,9,0.026000,-0.7920,1.1174,17.00,17.10
37.00,78,C,2213,0.025000,0.1906,1.1589,0.86,0.90
37.00,78,P,9,0.025000,-0.8001,1.1316,17.95,18.05
38.00,78,C,4896,0.024000,0.1830,1.1999,0.82,0.86
38.00,78,P,1,0.024000,-0.8076,1.1438,18.90,19.00
39.00,78,C,710,0.023100,0.1760,1.2166,0.79,0.83
40.00,78,C,45759,0.022300,0.1694,1.2296,0.76,0.81
40.00,78,P,16,0.022300,-0.8213,1.2423,20.80,20.90
42.50,78,C,2470,0.020400,0.1546,1.2424,0.70,0.74
45.00,78,C,41296,0.018800,0.1419,1.2976,0.64,0.68
45.00,78,P,208,0.018800,-0.8487,1.3102,25.65,25.75
47.50,78,C,5835,0.017400,0.1309,1.3634,0.59,0.63
50.00,78,C,60715,0.016100,0.1212,1.4079,0.54,0.58
50.00,78,P,3,0.016100,-0.8694,1.3644,30.50,30.60
55.00,78,C,67102,0.014000,0.1051,1.3782,0.46,0.50
55.00,78,P,1,0.014000,-0.8856,1.4122,35.35,35.45
60.00,78,C,78759,0.012400,0.0922,1.4492,0.40,0.44
60.00,78,P,2,0.012400,-0.8984,1.4601,40.25,40.35
65.00,78,C,56225,0.011000,0.0817,1.4899,0.34,0.38
70.00,78,C,45515,0.009900,0.0730,1.5206,0.29,0.33
75.00,78,C,33267,0.009000,0.0658,1.5326,0.26,0.30
80.00,78,C,20008,0.008100,0.0596,1.5772,0.23,0.27
80.00,78,P,1,0.008100,-0.9310,1.5367,59.85,60.00
85.00,78,C,1988,0.007400,0.0543,1.5974,0.21,0.24
90.00,78,C,38096,0.006800,0.0497,1.6221,0.19,0.23
90.00,78,P,1,0.006800,-0.9409,1.6250,69.75,69.85
95.00,78,C,40887,0.006300,0.0458,1.6240,0.17,0.21
100.00,78,C,26190,0.005800,0.0423,1.6445,0.16,0.20
100.00,78,P,58,0.005800,-0.9483,1.6397,79.60,79.75
110.00,78,C,5059,0.005100,0.0365,1.7032,0.14,0.17
110.00,78,P,55,0.005100,-0.9541,1.6253,89.50,89.60
120.00,78,C,445,0.004500,0.0319,1.7384,0.12,0.16
120.00,78,P,107,0.004500,-0.9587,1.7207,99.35,99.50
130.00,78,C,128,0.004000,0.0282,1.7637,0.12,0.14
